Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
58211174,Courage Is Calling: Fortune Favors the Brave (The Stoic Virtues Series),Ryan Holiday,"Holiday, Ryan",,"=""0593191684""","=""9780593191682""",0,4.03,Portfolio,Kindle Edition,303,2021,2021,,2022/12/29,to-read,to-read (#40),to-read,,,,0,0
60554355,Discipline Is Destiny: The Power of Self-Control (The Stoic Virtues Series),Ryan Holiday,"Holiday, Ryan",,"=""0593191706""","=""9780593191705""",0,4.26,Portfolio,Kindle Edition,344,2022,2022,,2022/12/29,to-read,to-read (#39),to-read,,,,0,0
36330113,On the Shortness of Life,Seneca,"Seneca, Seneca",A. Stewart,"=""""","=""""",0,4.16,LRP,Kindle Edition,31,2017,49,,2022/12/29,to-read,to-read (#37),to-read,,,,0,0
30630916,Find Your Why: A Practical Guide to Discovering Purpose for You and Your Team,Simon Sinek,"Sinek, Simon","David Mead, Peter  Docker","=""1101992980""","=""9781101992982""",0,3.66,Portfolio,Kindle Edition,256,2017,2017,,2022/12/29,to-read,to-read (#36),to-read,,,,0,0
28930640,The Ideal Team Player: How to Recognize and Cultivate The Three Essential Virtues (J-B Lencioni Series),Patrick Lencioni,"Lencioni, Patrick",,"=""""","=""""",0,4.07,Jossey-Bass,Kindle Edition,226,2016,2016,,2022/12/29,to-read,to-read (#35),to-read,,,,0,0
50608282,The Motivation Code: Discover the Hidden Forces That Drive Your Best Work,Todd Henry,"Henry, Todd","Ron Penner, Todd W. Hall, Joshua Miller","=""059319165X""","=""9780593191651""",0,3.70,Portfolio,Hardcover,272,2020,2020,,2022/12/27,to-read,to-read (#34),to-read,,,,0,0
38390751,The Infinite Game,Simon Sinek,"Sinek, Simon",,"=""073521350X""","=""9780735213500""",0,4.16,Portfolio,Hardcover,251,2019,2017,,2022/09/28,to-read,to-read (#33),to-read,,,,0,0
35469581,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""1942788290""","=""9781942788294""",0,4.26,IT Revolution Press,Paperback,432,2018,2013,,2022/09/28,to-read,to-read (#32),to-read,,,,0,0
37702964,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",John Doerr,"Doerr, John",Larry Page,"=""0525536221""","=""9780525536222""",0,3.98,Portfolio,Hardcover,320,2018,2017,,2022/09/28,to-read,to-read (#31),to-read,,,,0,0
22875447,Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,"Bock, Laszlo",,"=""1455554790""","=""9781455554799""",0,4.13,Twelve,Hardcover,406,2015,2015,,2022/09/28,to-read,to-read (#30),to-read,,,,0,0
324750,High Output Management,Andrew S. Grove,"Grove, Andrew S.",,"=""0679762884""","=""9780679762881""",0,4.30,Vintage,Paperback,272,1995,1983,,2022/09/28,to-read,to-read (#29),to-read,,,,0,0
26083308,"The DevOps Handbook: How to Create World-Class Agility, Reliability, and Security in Technology Organizations",Gene Kim,"Kim, Gene","Patrick Debois, John Willis, Jez Humble","=""1942788002""","=""9781942788003""",0,4.29,IT Revolution Press,Paperback,442,2016,2015,,2022/09/28,to-read,to-read (#27),to-read,,,,0,0
35747076,Accelerate: Building and Scaling High Performing Technology Organizations,Nicole Forsgren,"Forsgren, Nicole","Jez Humble, Gene Kim","=""1942788339""","=""9781942788331""",0,4.05,IT Revolution,Paperback,288,2018,,,2022/09/28,to-read,to-read (#28),to-read,,,,0,0
22521573,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0143126563""","=""9780143126560""",0,4.00,Penguin USA/PenguinPutnam Inc,Paperback,352,2015,2001,,2022/09/28,to-read,to-read (#26),to-read,,,,0,0
28259130,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,"Manson, Mark",,"=""0062457713""","=""9780062457714""",0,3.87,Harper,Hardcover,212,2016,2016,,2022/09/28,to-read,to-read (#25),to-read,,,,0,0
15824358,The First 90 Days: Critical Success Strategies for New Leaders at All Levels,Michael D. Watkins,"Watkins, Michael D.",,"=""1422188612""","=""9781422188613""",0,3.85,Harvard Business Review Press,Hardcover,304,2013,2003,,2022/09/28,to-read,to-read (#24),to-read,,,,0,0
18290413,One Small Step Can Change Your Life: The Kaizen Way,Robert Maurer,"Maurer, Robert",,"=""076118032X""","=""9780761180326""",0,4.01,Workman Publishing Company,Paperback,228,2014,2009,,2022/09/28,to-read,to-read (#23),to-read,,,,0,0
